
c:/Users/lpacheco/OneDrive - B3 S.A. – Brasil, Bolsa, Balcao/Documentos/Atividades/SPECTRAL/Valida/1.0.0-rc1_chat-services_Externa_Ingles_snc_basico.json
   1:1     error  valida-declaracao-Error-B3                       A classe padrão 'Error' não foi declarada corretamente em relação ao idioma do arquivo - ingles
  20:14  warning  operation-tags                                   Operation must have non-empty "tags" array.                                                                                                                           paths./chat/completions.post
  26:21    error  formatacao-nome-atributo-parametro-B3            Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.                                           paths./chat/completions.post.parameters[0].name
  30:22    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  paths./chat/completions.post.parameters[0].schema
  37:21    error  formatacao-nome-parametro-header-B3              Parâmetro header que não se inicia com 'x-' ("user-id") deve obedecer camel case.                                                                                     paths./chat/completions.post.parameters[1].name
  41:22    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  paths./chat/completions.post.parameters[1].schema
  57:21    error  obrigatoriedade-httpcode-padrao-B3               Faltou declaração de código de retorno padrão HTTPCode (400, 429, 500 e 503).                                                                                         paths./chat/completions.post.responses
  57:21    error  obrigatoriedade-httpcode422-B3                   Falta declarar HTTPCode 422.                                                                                                                                          paths./chat/completions.post.responses
  57:21    error  obrigatoriedade-post-httpcode-sucesso-B3         O retorno Sucesso para o post é HTTPCode = 201 ou 202.                                                                                                                paths./chat/completions.post.responses
  60:23    error  obrigatoriedade-x-v-parametro-headers-B3         A declaração do parâmetro (x-v) é obrigatória.                                                                                                                        paths./chat/completions.post.responses[200].headers
  83:28    error  obrigatoriedade-httpcode400-padrao-B3            A descrição padrão do HTTPCode = 400 deve ser 'Bad Request'                                                                                                           paths./chat/completions.post.responses[400].description
 104:27    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  paths./chat/completions.post.responses[400].content.application/json.example.error
 140:28    error  obrigatoriedade-httpcode500-padrao-B3            A descrição padrão do HTTPCode = 500 deve ser 'Internal Server Error'                                                                                                 paths./chat/completions.post.responses[500].description
 155:27    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  paths./chat/completions.post.responses[500].content.application/json.example.error
 196:23    error  valida-payload-envelopado-data-B3                Todo payload deve ser envelopado pela propriedade 'data'                                                                                                              components.schemas.errorResponse
 207:18    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.error.properties.code
 207:18    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.error.properties.code
 210:21    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.error.properties.message
 210:21    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.error.properties.message
 230:25    error  formatacao-nome-atributo-parametro-B3            Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.                                           components.schemas.contentFilterResult.properties.severity.x-ms-enum
 282:26    error  formatacao-nome-atributo-parametro-B3            Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.                                           components.schemas.promptFilterResult.properties.prompt_index
 291:29    error  oas3-unused-component                            Potentially unused component has been detected.                                                                                                                       components.schemas.promptFilterResults
 306:18    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.chatCompletionsRequestCommon.properties.user
