
c:/Spectral/Pacote Spectral v1.40/Pacote Spectral v1.40/SPECTRAL/Valida/chatservice_openapi_0.5.0.yaml
   1:1     error  formatacao-nome-swagger-B3                   Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-declaracao-Error-B3                   Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-get-parametros-query-Meta-B3          Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-get-relacionamento-classe-Meta-B3     Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
  5:12     error  formatacao-version-B3                        propriedade 'version' com formatação inválida.                                                                               info.version
  7:10     error  formatacao-servers-url-B3                    A url https://apim-xxx.azure-api.net deve iniciar com "https://Caminho_backend/"                                             servers[0].url
  10:10  warning  operation-tags                               Operation must have non-empty "tags" array.                                                                                  paths./chat/completions.post
  13:20    error  formatacao-operationId-B3                    propriedade 'operationId' com formatação inválida.                                                                           paths./chat/completions.post.operationId
  15:17    error  formatacao-nome-atributo-parametro-B3        Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.  paths./chat/completions.post.parameters[0].name
  19:18    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.parameters[0].schema
  23:17    error  formatacao-nome-parametro-header-B3          Parâmetro header que não se inicia com 'x-' ("user-id") deve obedecer camel case.                                            paths./chat/completions.post.parameters[1].name
  27:18    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.parameters[1].schema
  36:17    error  obrigatoriedade-httpcode-padrao-B3           Os códigos de retorno padrão são HTTPCode (400, 401, 403, 404, 429, 500, 503 e 504).                                         paths./chat/completions.post.responses
  36:17    error  obrigatoriedade-httpcode422-B3               O HTTPCode = 422 não foi declarado.                                                                                          paths./chat/completions.post.responses
  36:17    error  obrigatoriedade-post-httpcode-sucesso-B3     O retorno Sucesso para o post é HTTPCode = 201 ou 202.                                                                       paths./chat/completions.post.responses
  39:19    error  obrigatoriedade-x-v-parametro-headers-B3     A declaração do parâmetro (x-v) é obrigatória.                                                                               paths./chat/completions.post.responses[200].headers
